sentence,emotion
siguro mukha ako nalilitolito simula sila tawa,fear
ba sabi mo,anger
bagal mo cliff nang kuyom ngipin,anger
bagal sagot nel,anger
nasa tama isip tawa sana ngunit mas lalo ako balisa bili nel,anger
patay hina jett putla mukha takot,fear
bili si nel mura sila iyak buhay,fear
kita rin peklat braso alala halos patay noon navis,sadness
wala ina pangalawa taon wala rin si dale,sadness
curious nakaraan mo buhay alam mo tagal tayo kampi konti lamang alam,sadness
naman ganoon kainteresante buhay sagot,sadness
tago bata shima salamat sira kumander salita,joy
magulang ture rin traydor sigurado ako kita tao nang alam,sadness
panahon miss damdam balik pagige bata,sadness
nang biyahe dito bilang linggo lipa damdam isa pakali alam gaano tagal isa gitna wala,sadness
ngunit taon medyo kalma alam sama kampi lamang payag pasok isla ngunit alam hintay labas sapat upang panatag,joy
ngiti meryenda gamit jett,joy
pagod isip ba suri espada,sadness
maimagine ligta isa lamang mo ba,sadness
bigla baba temperatura kulay abo langit puyo hamog kapal fog balot paligid harang tingin depensa posisyon handa armas,fear
tayo harap balsa dito sandali sabi salita litaw mas liit balsa lutang punta direksyon lingon ngiti,joy
pasensiya lamang puwede pasok,sadness
balik kayo niyo ako hanap nanatili lamang kayo hintay,anger
titig titig kay jett ngisi patay gawa,anger
damdam gapang kiliti balat pigil ngatog mas masidhe takot nakakapanik aura huli taon,fear
dito ulit tanong farallon tila tuwa presensya,anger
dala sagot para materyal grand prize kalma kaunti,joy
tawa naiinggit ba,joy
tahimik naia,anger
dito bata tanong inis tono,anger
kailangan pigil untiunting takot akyat lalamunan,fear
well tapos problema nox nang bili hanggat,anger
sabog liwanag sabay shrapnel shell pangyayari sugat bilang executioner ngunit man lamang kilos lagay dalawa pigura litaw headgear wasak hugot espada ngunit imbestiga paligid kurba talim itak nasa paligid leeg,fear
tawa si kyo nang banta ligaya date isla traydor,anger
tanong lionel ba sama blood chamber ngunit tanggi lugar mage buti lagay isip,fear
halos wasiwas espada nang kinig bose likod kabutihan palad pamilyar bose aristus pigil,anger
alam mo muntik mo wala ulo mo alis kamay tela,fear
usap para iba kilos,fear
kinig paliwanag damdam iba damdam tindig damdam pamilyar presensya,fear
damdam shinigami presensya hugot kutsilyo,anger
palit atake subok lagpas isat ngunit kabila gamit mas ikli talim kaya sabay atake bili,fear
inis dito,anger
hampas espada tama kanan balikat,anger
tanong sagot wala ka karapatan,anger
hina tuhod para lakas untiunting wala,fear
gamit ba sixth sense,fear
tigil kayo,anger
sisiya shinigami bulong ako hirap rin iba atake,fear
hanap siya tao sagot kiyoko kaya pakali,fear
pasensiya abala dulot kay kiyoko,sadness
ngiti ayos lamang lamang tiwala shinigami iba sanay ako kilala shinigami mo,joy
rin ngiti nang kinig,joy
palit tingin siya bigay banayad ngiti tao bago takbo pangkat shinigami,joy
bow si darwin salamat,joy
alam galit kiyoko tingin pareho direksyon rin labis muhi shinigami butod puso,fear
rin patay lalo dulot patay vince higanti,anger
tawa nang hina sabi gale mo dala kriminal paala naiah,joy
abot bulsa labas dulo basag sibat ngiti ngunit mata kita alala,fear
halos lubog puso nang tanto,sadness
simula nginig kamay damdam bata ulit,sadness
sibat patay kumpirma,anger
sakit nang kinig kuwento alala pangyayari,sadness
napabuntong hinga abot sibat nang hawak daliri talim balik isip dami alaala,sadness
shinigami patay grupo humdrum ulo nasa lupa kulong shinigami pinapahirapan babae berde mata alab galit,anger
okay lamang ba tanong kiyoko alala tinig oo okay lamang hina tugon salamat sayo,sadness
naia tawag bati si nel,joy
alam mo ba gaano hirap pigil pasok isla,fear
tanong,anger
ano problema,anger
alala lamang sayo halos tatlo ora doon,sadness
heh kailan kayo clingy clingy tugon nel kilabot lamang talaga lugar,anger
tama dagdag jett,sadness
naman inyo normal lugar oh sige alis,fear
saya ako ligta bigla nel basag tahimik akala akala balik,joy
tingin tuon tingin una,sadness
ngiti silay labi ako keeper manatili buhay ligta protekta grupo,joy
uy dahan sigaw cliff subok balansehin balsa nel durog mo puna jett oo nga keeper huwag ka gawa panganib kundi patay bulong pansin sabi lalaki,fear
tawa tapik sunod kapitan,joy
wala ngiti mukha layo lugar tawag tahanan,joy
uwi,joy
sigaw takot pighati sandata laban,sadness
sagi isip alaala naomi bagsak si mitsuo tuhod tanggi higa lupa huli hinga,sadness
sakit dibdib tingin dalawa kaibigan nasa bingit patay,sadness
basag hile rielle puso si hideo,sadness
ah mukha ora bulong,fear
dugo ubo mitsuo manatili siya tingin langit ulan bagsak mukha,sadness
pikit mata naririnig rin hina bose isip takbo nathalie aniya ngiti suko mukha huwag ka lingon ligta mo mo ligta mo mo ka alala alala kita lagi nnathalie,fear
alalayan si naomi sigaw mayu,anger
halos durog puso pilit tatag,sadness
naomi sigaw agad intindi naomi,fear
huwag ka lingon akira ulit salita mitsuo tuloy lisan lugar naomi,fear
usap ligta,fear
bigla naman ako kilabot tayo si hideo dahan tayo,fear
protekta mo sila utos kilabot tono ayaw wala pa ngayon gabi,anger
tugon usap tapos digmaan hideo,fear
ligta bulong tapik balikat ka alala lakas si naomi alaga hideo anak mo nginig bose simula nang bagsak luha mukha nanatili ka buhay alaala puwede nang pahinga,sadness
lamang taon atin parangal patay puno lungkot bose,sadness
tiyak tanong konseho ugnay tapat,fear
sana nga panaginip lamang,sadness
rielle miyamoto vince alejandrino hideo tanda ninyo ngalan,sadness
lakad nang tungo subok tanggap pangyayari,sadness
dala paa pamilyar lugar tahimik bagsak luha kanina pigil,sadness
payag tirahan konseho kampus puwede gamit kubo gubat puwede mo siya dalaw,fear
hina tuhod bagsak lupa espada higpit hawak,sadness
sapat lakas ligta kaibigan,sadness
sapat lakas tanggap patay,fear
sapat lakas pigil bagsak luha,sadness
kaya nanatili tabi gaya akira ayaw tanggap wala,sadness
ayaw walangbuhay katawan,sadness
alam bilang ora ako upo lamang tuloy iyak hirap tukoy ora kapal sanga puno humaharang langit,sadness
hirap manatili tuon isip isip rin sina akemi mitsuo,sadness
lalim buntonghininga wala kalma katawan simula lakad tungo kubo nang damdam ulit dilim presensya,sadness
ibabaw hinuha galit tawag sibat sabay espada ikot pareho armas direksyon,anger
tama sibat dibdib shinigami kay mitsuo espada tumago lalamunan agad siya patay,anger
hatak armas katawan talsik dugo mukha damit,anger
sila patay upang takot mata sandali isip ganito dahil damdam hideo kanina,anger
alam balik buhay ganito lamang higanti,anger
nginig ako hinga tagpo sarili nginig galit lungkot,anger
ba buhay,fear
ssabihin mo ungol sakit bbuhay hindi ba,fear
iikaw,sadness
mo lamang sigaw galit,sadness
pigil hikbi dahan ile akemi ssiya siya patay,fear
bulong kita sakit mukha iyan totoo ssiya,sadness
subok tayo kabila dami dugo wala hawak kuwelyo damit huwag mo ako loko patay kita,anger
sobra dugo pagod pisikal emosyonal siya tulong,fear
tago presensya track mayu tapos mungkahi tirahan si akemi kubo lakas presensya lubos tago,sadness
suwerte bulong tingala langit puno putok,anger
lakad gubat laten bahid dugo lupa,fear
si akira tanong buntunghininga nasa supply house,fear
okay ba,sadness
ile namin tulog tuloy baka siya lunod emosyon,fear
si hideo,fear
nasa council house sagot alala mata parangal patay tingin,sadness
tao,anger
balik sigaw balik,anger
huwag ka galaw,anger
patay loob bilang ora tigil,anger
tigil ma,anger
sadya tigil bose nang berde mata dilim ilaw,fear
mo ligta tanong,sadness
kaibigan sagot kaibigan,sadness
alis,sadness
puwede alis hina ako masama tingin track labas,fear
wala ako alam patay,anger
mo patay sama banta tawag haba espada hirap ba doon tanong basag tahimik,anger
gusto ako iyak ninuman saya ba dito bigla tanong,fear
oo bulong alaala sama,sadness
ligta mo usap hagulgol rielle hawak braso mata wala agos dugo mata buhay michiko,fear
lamang kita gulat wala ka malubha sugat,sadness
ngisi tingin nakagraduate pagige pasyente mo,sadness
oo pa pasyente bahid lungkot bose,anger
uhm kumusta si akira tanong,sadness
pahinga sagot pangyayari wala kontrol sixth sense kinig tao bagay paligid masyadong bigat,sadness
sabay abot hiringgilya,fear
kunot noo,anger
ngiti abala si mayu bahala,sadness
mo kami alala mo alala pamilya mo bahala balik,sadness
payag bulong tingala langit alam,sadness
mo nang tulog titig eye bag,fear
baka managinip anak hina sabay ngiti bahagya baka ayaw nang gise,sadness
alaga mo,sadness
usap alaga mo bulong nagmeow sagot,sadness
tara sambit mayu,sadness
ano espiritu dambana bulong mayu tahimik kami upo harap puntod tawad akemi,sadness
lupit mundo sayo tawad isa noon nasa dilim bahagi buhay mo dito wakas piyok bose pigil emosyon loob pahinga akemi isa,sadness
baka managinip anak baka gusto gise,sadness
sir ise tawag sir hideyoshi ngunit masama lamang tingin tanda,sadness
wow alam kaya tingin pinuno tribu noon,fear
takot taon,fear
tama sir hideyoshi kita bahala nakatatanda,anger
tanda,anger
tawag ba tanda tao ba tukoy pinuno shima,anger
sir ise usap lipa bilang segundo bagsak si sir kyo tuhod hingal hingal,sadness
tiwala sayo bulong tanda nanatili yuko si sir kyo,anger
paanong gawa mo bastos patay paanong gawa niyo ipagkait presensya lugar,anger
isip ba anim damdam mag ugali ganoon,anger
ipapadama inyo galit angkan jikko sisiguraduhin niyo mararanasan payapa hanap niyo,anger
patay shinigami hirap galit gigibain lugar tawag niyo kami traydor wala ako alam traydor kayo mata laban niyo jikko,anger
salamat kilala apo bahagya kilos hideo,sadness
sayo kaibigan tagal nang sira lugar tanda,sadness
bigay kita taon pakinggan mo bata,sadness
taon sisiguraduhin buhay buhay dapat,joy
buntonghininga tapos gamot sugat,sadness
ah michiko bati,joy
ngiti kinig nanay mo ha,joy
hideo tawag pabagsak upo sofa lapit mesa,anger
puro sugat tanong punta direksyon,sadness
buntunghininga training,fear
pahinga pagod,sadness
hah singhal kogale talaga sayo ha kaya tulog,anger
puyat nang bilang araw balik,sadness
kaya basa isip mo bigla nag pabaya,sadness
anga pala desisyon council tanong pilit bago usap rin kay mitsuo,fear
bago hatol sagot payag tayo ilibe dito,fear
sama si mayu sabay buntonghininga kaya alaga,sadness
tango oo ipinangako iyon,fear
hay sabay sandal sofa sana bigay ulit misyon,sadness
wala ba class mission intel department tanong,sadness
wala sayo,anger
kita payag,anger
ayos naman upo ko,anger
payag alis hanggat kumpiyansa,sadness
hoy ka alala wala malumanay,fear
iyan sabi,sadness
pangako subok kapit buhay mas okay siguro patay kayo kaya iwan saka hoy mo ako liit ora mas lakas sayo,sadness
tawa nang hina tama,joy
iyan tawa naman papaano biro nababanat iyan muscle mukha mo kasi lagi ka simangot,joy
tss para tawa lamang ano hirap bulong lihim naman ngiti dati kay akemi,joy
totoo naman,joy
layas sambit,joy
salamat ngiti nang kinig,joy
bbakit hirap tanong mmaigalaw katawan,fear
dugo sabog mukha dilaw buhok takip pula berde mata kislap dilim espasyo balat kilabot nang ngiti,sadness
bulong pilit iyak,sadness
mo ba siya tanong dahan siya tango,fear
laban bigla mo kailangan magbaitbaitan galit sayo mo,anger
hinga nang lalim sarado isip laban hirap sagot tulong mo kaibigan,sadness
napasinghal kaibigan ano loko iyan,anger
ah tama gamit ganyang termino,sadness
masama tingin medyo takot elite tauhan lamang gawa,anger
ba mas sundin mo mas taas,anger
tigil senshin wala ka alam,anger
ah ba galit kasi gutom asar,joy
tigil,anger
alam mo bahay alis asar ah nga pala galaw,anger
agad ako tayo lakad punta kusina sige sige bait luto kita,joy
naman maarte kain,sadness
excuse pinakamapili tama naomi dagdag,sadness
teka puwede ba siya kain puwede ba kainin halos linggo siya hindi kain papaanong buhay,sadness
ito sabay lapag kain tabi,anger
tahimik nga galit pangit tawa mo wow guwapo pangit rin,anger
protekta huh sambit hanap libro tindahan,anger
oo protekta tingin una magulang tapos alaga,sadness
sabay tingin lamang gawa patay pasok ba protekta,anger
ano mo galit tanong,anger
shit mura nang hina manatili tigre puno kinaroroonan,anger
oh sige pahinga muna saka lamang alis sikat araw,sadness
patay protekta lamang,anger
michiko protekta mo,fear
takot rin ako tulog,fear
ano mo riyan,anger
michiko dahan tawag puwede mo bang,fear
gasgas lamang iyan tawa wala lamang iyan,sadness
sabi sayong ingat,fear
normal lamang sugat training sagot,sadness
saka nga pala napuntahan mo ba si akira,fear
doktor,fear
sagot komadala lamang ako magkainjury tuto rin bilang first aid technique,sadness
patay eksperimento doktor kay rielle,sadness
sisi council bukod riyan mas lala tribu mo,anger
simangot diyan akira,sadness
mo nang galaw bulong,sadness
upper body lamang paos bose,sadness
tayo lamang diyan michiko ask akira tara dito,sadness
sigurado ba okay lamang kubong iyan,sadness
oo nga bahay naman nayon dagdag akira layo mo tuloy,sadness
paumanhin babysitter role dito ha,anger
tigil niyo ako gawin babysitter,anger
sabay namin sagot tingin,sadness
hideo sagot mayu puwede,sadness
delikado michiko bala mayu,fear
ngiti alam mo naman panganib,joy
seryoso ba instructor tanong turo,anger
kaya turo sagot ayaw talaga turo,anger
mage teacher,anger
nang hagis bagay anunsyo dahan ikot kanan braso,anger
mo talaga nasasaktan,anger
kulong ba tanong,anger
sana lakad lalo dali bulong,sadness
ka alala rin hintay alis sagot naman,sadness
oh wow takot emosyon,fear
patay kita balang araw bulong,anger
ano gawa,fear
huwag sana patay balik tawa,fear
sagot dito,sadness
ka alala iyan,sadness
ba iyan tanong,anger
hina galit sagot ikaw,fear
ha takot balik,anger
hina,fear
hey tawag tingin rin puntod akemi wala naman barrier lugar diba,fear
buntonghininga sabay ngiti wakas,joy
ba mo gamit kamay mo,anger
lapit ano alam mo,fear
excuse arawaraw ako nagpapractice,anger
mage ka guro,joy
bangungot rin ba tanong mayu,sadness
buksan sana pinto nang damdam iba,fear
lima taon trahedya pa wasak sumalanta taon ako suko isip mas buti pa patay,sadness
seryoso ba iyan nang saya asa ako asa ulit,fear
maam michiko saya tawag kaway,joy
pasensiya kita dala,sadness
bigla lamang siya bagsak alala,sadness
kunot noo alis,sadness
hintay ba tanong piloto sige sana tapos bukas sagot,fear
uhh hi bati mukha wala mood bati balik,sadness
sorry intindi russian sagot balik tingin humdrum,sadness
sakit bulong pangako,sadness
pamilya talaga hina hindi ba,sadness
suko lamang hayaan mo kami patay sakit reap nilalagyan bala baril,sadness
mo idamay usap singhal damdam galit sakit dibdib patay puwedeng patay,anger
ka alala dagdag kita mo rin bilang buhay,anger
patay puwedeng patay,fear
putang ina mo senshin sigaw pa elite galit galit,anger
shit mura nang hina,anger
pasensiya tahimik sabi isip kaibigan,sadness
pasensiya iyan tanong matay tuon rin shinigami harap,sadness
patay anak kwenta si aiwa,sadness
mo tagpo tanong subok layo isip masalimuot isip,fear
ganoon damdam bigla patay noon,sadness
mmichiko iyak ka kita usap vivien date anak usap ligta mo mo hayaan usap,sadness
ka dito vivien usap ulit bulong akira durog durog puso,fear
pasensiya tawad michiko usap alaga mo,sadness
shh alo ayos lamang mommy mo pigil luha,sadness
sige akira usap bulong ora biro sige imulat mo mata mo,sadness
usap anak mo mo gawa usap,fear
usap pabaya niyo muna,fear
hideo hina tawag tama,fear
gawa sigaw tahimik tulo luha niya,anger
pakawalan mo,anger
nanatili dito usap ka alis,fear
lalo siya higpit yakap kaya wala rin iyak,sadness
mo patay lamang,anger
sala nginig bose payag alis sala,sadness
mo sala hina,sadness
pagod pakikinig pangako bulong,anger
okay bulong tingin,sadness
dito tiga tanong,anger
